Accident Ref.,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
1150032350,CITY OF LONDON,0,532970,180960,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1150032367,CITY OF LONDON,0,532935,181209,1,3 Pedestrian,1 Male,25-59,26,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150032374,CITY OF LONDON,0,532700,180740,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1150032374,CITY OF LONDON,0,532700,180740,2,2 Passenger,2 Female,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1150032394,CITY OF LONDON,0,532130,181060,1,3 Pedestrian,2 Female,25-59,27,1,2 Serious,01 Crossing Road On Ped Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
1150032747,CITY OF LONDON,0,533035,181114,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1150033106,CITY OF LONDON,0,532680,181820,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150033140,CITY OF LONDON,0,533287,181140,1,3 Pedestrian,1 Male,25-59,41,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150033148,CITY OF LONDON,0,531570,181570,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150033155,CITY OF LONDON,0,532160,181240,1,3 Pedestrian,1 Male,25-59,32,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1150033473,CITY OF LONDON,0,532890,180700,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1150033503,CITY OF LONDON,0,532790,180980,1,3 Pedestrian,1 Male,25-59,50,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150033899,CITY OF LONDON,0,532150,181230,1,3 Pedestrian,1 Male,0-15,10,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1150034005,CITY OF LONDON,0,533220,181490,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1150034046,CITY OF LONDON,0,531650,180880,1,3 Pedestrian,1 Male,60+,73,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1150034222,CITY OF LONDON,0,531710,181740,1,1 Driver/Rider,1 Male,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
1150034244,CITY OF LONDON,0,533430,181050,1,3 Pedestrian,2 Female,25-59,56,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150034349,CITY OF LONDON,0,532220,181890,1,3 Pedestrian,1 Male,60+,69,1,3 Slight,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian, 
1150034353,CITY OF LONDON,0,532320,181360,1,3 Pedestrian,2 Female,25-59,29,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150034368,CITY OF LONDON,0,533140,180670,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1150034501,CITY OF LONDON,0,531590,181450,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150035587,CITY OF LONDON,0,533370,181130,1,1 Driver/Rider,1 Male,25-59,56,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150035597,CITY OF LONDON,0,533750,181250,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150035829,CITY OF LONDON,0,532440,180970,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150035869,CITY OF LONDON,0,532680,180900,1,3 Pedestrian,2 Female,16-24,24,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1150035877,CITY OF LONDON,0,531420,181590,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150036004,CITY OF LONDON,0,531650,181060,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150036037,CITY OF LONDON,0,532480,180810,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
1150036037,CITY OF LONDON,0,532480,180810,2,2 Passenger,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
1150036060,CITY OF LONDON,0,532790,180390,1,3 Pedestrian,1 Male,25-59,49,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
1150036213,CITY OF LONDON,0,533330,181670,1,3 Pedestrian,2 Female,60+,69,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1150036223,CITY OF LONDON,0,532860,180760,1,3 Pedestrian,2 Female,25-59,25,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
1150036256,CITY OF LONDON,0,531940,181110,2,3 Pedestrian,1 Male,0-15,12,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1150036256,CITY OF LONDON,0,531940,181110,1,1 Driver/Rider,1 Male,25-59,30,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1150036379,CITY OF LONDON,0,533360,181750,1,3 Pedestrian,1 Male,60+,81,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1150036389,CITY OF LONDON,0,531670,181480,1,1 Driver/Rider,1 Male,25-59,29,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150036396,CITY OF LONDON,0,531890,181140,2,1 Driver/Rider,1 Male,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1150036396,CITY OF LONDON,0,531890,181140,1,3 Pedestrian,1 Male,25-59,31,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1150036413,CITY OF LONDON,0,533270,181590,1,3 Pedestrian,2 Female,16-24,24,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150036512,CITY OF LONDON,0,533270,181580,1,3 Pedestrian,2 Female,25-59,30,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150036545,CITY OF LONDON,0,533150,181350,1,3 Pedestrian,1 Male,25-59,38,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian, 
1150036569,CITY OF LONDON,0,532890,180840,1,1 Driver/Rider,1 Male,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150036915,CITY OF LONDON,0,533220,180940,1,3 Pedestrian,1 Male,25-59,36,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150036961,CITY OF LONDON,0,532840,181560,2,3 Pedestrian,2 Female,0-15,4,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1150036961,CITY OF LONDON,0,532840,181560,1,3 Pedestrian,2 Female,25-59,37,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1150036995,CITY OF LONDON,0,532940,181540,1,3 Pedestrian,2 Female,25-59,27,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1150037275,CITY OF LONDON,0,533200,181440,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150037279,CITY OF LONDON,0,533550,181160,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1150037281,CITY OF LONDON,0,532804,181758,2,3 Pedestrian,1 Male,25-59,25,1,3 Slight,09 In Road - Not Crossing,7 In Rd Facing Traffic,1 Pedestrian, 
1150037281,CITY OF LONDON,0,532804,181758,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1150037346,CITY OF LONDON,0,533410,181400,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150037777,CITY OF LONDON,0,533060,180930,1,1 Driver/Rider,2 Female,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1150038058,CITY OF LONDON,0,532560,181140,1,3 Pedestrian,2 Female,25-59,57,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1150038223,CITY OF LONDON,0,533320,181370,1,3 Pedestrian,1 Male,25-59,46,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1150038364,CITY OF LONDON,0,533490,181130,1,2 Passenger,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1150038764,CITY OF LONDON,0,532139,181409,1,3 Pedestrian,2 Female,25-59,35,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0115CP00001,CITY OF LONDON,0,532180,181230,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00002,CITY OF LONDON,0,532750,180730,2,2 Passenger,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115CP00002,CITY OF LONDON,0,532750,180730,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115CP00003,CITY OF LONDON,0,532730,181080,1,3 Pedestrian,1 Male,60+,74,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0115CP00004,CITY OF LONDON,0,531590,181370,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00005,CITY OF LONDON,0,531720,181720,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0115CP00006,CITY OF LONDON,0,533230,180940,1,1 Driver/Rider,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00007,CITY OF LONDON,0,533330,181690,1,3 Pedestrian,1 Male,25-59,30,1,2 Serious,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0115CP00008,CITY OF LONDON,0,532160,181230,1,3 Pedestrian,2 Female,16-24,17,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0115CP00009,CITY OF LONDON,0,532970,180950,1,3 Pedestrian,2 Female,25-59,28,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0115CP00010,CITY OF LONDON,0,531890,181360,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00011,CITY OF LONDON,0,532860,180830,1,1 Driver/Rider,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00012,CITY OF LONDON,0,533330,181670,1,3 Pedestrian,1 Male,25-59,25,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
0115CP00013,CITY OF LONDON,0,533320,181670,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00014,CITY OF LONDON,0,533330,180700,1,1 Driver/Rider,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115CP00015,CITY OF LONDON,0,531620,181230,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00016,CITY OF LONDON,0,531610,181170,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00017,CITY OF LONDON,0,532350,180990,1,1 Driver/Rider,1 Male,25-59,50,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00018,CITY OF LONDON,0,532280,181560,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00019,CITY OF LONDON,0,531880,181360,2,3 Pedestrian,2 Female,25-59,27,1,2 Serious,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0115CP00019,CITY OF LONDON,0,531880,181360,1,1 Driver/Rider,1 Male,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00020,CITY OF LONDON,0,532100,181840,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00021,CITY OF LONDON,0,533330,181680,1,3 Pedestrian,1 Male,16-24,23,1,3 Slight,10 Unknown,9 Unknown Or Other,1 Pedestrian, 
0115CP00022,CITY OF LONDON,0,532700,181550,1,3 Pedestrian,1 Male,25-59,49,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0115CP00023,CITY OF LONDON,0,532420,180820,1,3 Pedestrian,1 Male,25-59,26,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0115CP00024,CITY OF LONDON,0,532140,180860,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00025,CITY OF LONDON,0,533060,181240,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00026,CITY OF LONDON,0,533100,181580,1,2 Passenger,2 Female,16-24,24,1,2 Serious,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0115CP00027,CITY OF LONDON,0,532660,181110,1,3 Pedestrian,1 Male,16-24,20,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
0115CP00028,CITY OF LONDON,0,531760,180830,1,1 Driver/Rider,2 Female,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00029,CITY OF LONDON,0,532450,181020,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00031,CITY OF LONDON,0,531560,181560,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00032,CITY OF LONDON,0,531720,181440,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0115CP00033,CITY OF LONDON,0,532760,180710,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00034,CITY OF LONDON,0,532710,181540,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00035,CITY OF LONDON,0,532420,180820,1,1 Driver/Rider,1 Male,25-59,48,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00036,CITY OF LONDON,0,531380,181530,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00037,CITY OF LONDON,0,532970,180950,1,1 Driver/Rider,2 Female,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00038,CITY OF LONDON,0,532920,181200,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00039,CITY OF LONDON,0,533380,180870,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00040,CITY OF LONDON,0,533540,181190,1,1 Driver/Rider,1 Male,25-59,44,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00041,CITY OF LONDON,0,533290,180680,1,1 Driver/Rider,1 Male,25-59,59,1,2 Serious,-2 Unknown,-2 N/A,5 Taxi, 
0115CP00042,CITY OF LONDON,0,531660,180920,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00043,CITY OF LONDON,0,532460,181030,1,3 Pedestrian,1 Male,25-59,25,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian, 
0115CP00044,CITY OF LONDON,0,533100,180800,1,3 Pedestrian,1 Male,25-59,36,1,3 Slight,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian, 
0115CP00045,CITY OF LONDON,0,532360,181560,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00046,CITY OF LONDON,0,532970,180950,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00047,CITY OF LONDON,0,533380,181910,1,3 Pedestrian,1 Male,16-24,17,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0115CP00048,CITY OF LONDON,0,532830,180710,2,3 Pedestrian,1 Male,25-59,30,1,2 Serious,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
0115CP00048,CITY OF LONDON,0,532830,180710,1,1 Driver/Rider,1 Male,25-59,31,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00049,CITY OF LONDON,0,532101,181289,1,2 Passenger,2 Female,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0115CP00050,CITY OF LONDON,0,531640,181000,1,1 Driver/Rider,2 Female,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00051,CITY OF LONDON,0,532370,181550,2,3 Pedestrian,2 Female,60+,83,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0115CP00051,CITY OF LONDON,0,532370,181550,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0115CP00052,CITY OF LONDON,0,531630,180810,1,1 Driver/Rider,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00053,CITY OF LONDON,0,532760,181060,1,3 Pedestrian,1 Male,25-59,46,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0115CP00054,CITY OF LONDON,0,532580,181270,1,3 Pedestrian,2 Female,25-59,28,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0115CP00055,CITY OF LONDON,0,532540,181290,1,3 Pedestrian,1 Male,25-59,59,1,3 Slight,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0115CP00056,CITY OF LONDON,0,533010,181060,1,3 Pedestrian,1 Male,25-59,40,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0115CP00057,CITY OF LONDON,0,532700,181530,1,3 Pedestrian,1 Male,16-24,24,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian, 
0115CP00058,CITY OF LONDON,0,531400,181560,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00059,CITY OF LONDON,0,533290,181600,1,3 Pedestrian,2 Female,16-24,22,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0115CP00060,CITY OF LONDON,0,533200,181430,1,3 Pedestrian,1 Male,25-59,47,1,2 Serious,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0115CP00061,CITY OF LONDON,0,532020,181480,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00062,CITY OF LONDON,0,532610,180780,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00063,CITY OF LONDON,0,532130,181850,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00064,CITY OF LONDON,0,532420,180810,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00065,CITY OF LONDON,0,531500,181170,1,1 Driver/Rider,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00066,CITY OF LONDON,0,531500,180970,1,3 Pedestrian,1 Male,25-59,38,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian, 
0115CP00067,CITY OF LONDON,0,532090,181570,1,3 Pedestrian,2 Female,25-59,32,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0115CP00068,CITY OF LONDON,0,531900,181360,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00069,CITY OF LONDON,0,531750,181660,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115CP00070,CITY OF LONDON,0,531890,181360,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00071,CITY OF LONDON,0,532860,181010,1,1 Driver/Rider,2 Female,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00072,CITY OF LONDON,0,532960,180930,2,3 Pedestrian,2 Female,25-59,29,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0115CP00072,CITY OF LONDON,0,532960,180930,1,1 Driver/Rider,2 Female,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115CP00073,CITY OF LONDON,0,531640,181050,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00074,CITY OF LONDON,0,533120,180920,1,2 Passenger,2 Female,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0115CP00075,CITY OF LONDON,0,532790,180490,1,3 Pedestrian,1 Male,25-59,31,1,2 Serious,10 Unknown,9 Unknown Or Other,1 Pedestrian, 
0115CP00080,CITY OF LONDON,0,533230,180940,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115CP00081,CITY OF LONDON,0,532820,181740,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0115CP00082,CITY OF LONDON,0,532680,181450,1,2 Passenger,2 Female,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0115CP00083,CITY OF LONDON,0,533180,180710,1,3 Pedestrian,1 Male,25-59,48,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
