"Resident 
within this area",w22nx,w22nx,,,"Avoid increases in motor vehicle 
journey times within the area;","Strongly 
negative",,Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Visit bars / pubs / restaurants;Visit 
caf�s;Use take-away food services;",I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Private car,Private car,"RUBBISH SCHEME 
where is the second option you say you have prepared without implementing this stupid scheme?"
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Shop for specialist goods and/or services (e.g. art, clothes, 
furniture, property 
agents etc);Visit bars / pubs / restaurants;Visit caf�s;",I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Private car,Private car,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Shop for specialist goods and/or services (e.g. art, clothes, 
furniture, property 
agents etc);Visit bars / pubs / restaurants;Visit caf�s;",I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Cycling,Private car,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Cycling,Cycling,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Walking,Walking,SPEND RTEPAYERS MONEY MORE INTELLIGENTLY
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",W2 2BU,W2 2BU,51.51473,-0.1659,"Reduce cut through traffic and 
congestion;Increase greening and 
biodiversity (e.g. trees, planters 
etc);Increase 
opportunities for community activity and a thriving high street ;","Strongly 
positive",At long last we can reclaim CV and divert the massive cut through traffic. I would even go as far as closing the part of kendal street that joins connaught street so as to increase the public realm and make kendal street a dead end street. Utility trucks can easily turn using driveway next to kurobuta and more EV charging stations could then be installed in the westerly section of kendal street.,Every day,"Visit bars / pubs / 
restaurants;Visit 
caf�s;Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon etc);","Seasonal / specialist market (e.g. Christmas market or antiques market);Regular farmers� 
 
market;Outdoor dining;","EV charging 
stations;Seating / 
benches;Green spaces/ planting;",Walking,Private car,Please make sure each residential area has EV charging stations installed as existing ones will now be scarce and restricted access
"Resident 
within this area",w2 2as,w2 2as,,,"Increase 
opportunities for community activity and a thriving high street ;Increase 
greening and 
biodiversity (e.g. trees, planters 
etc);Improve local air quality 
;Encourage people to walk and 
cycle;Lower collision risks and increase streets safety;Avoid increases in motor vehicle journey 
times within the area;Improve 
accessibility for the most vulnerable users;Keep the city (walkers, bikers, drivers, scooters) moving EFFICIENTLY and SLOWLY. Please do not create even more mayhem with this unreasonable and useless plan;","Strongly 
 
negative","I have lived in this neighborhood for over 45 years and every attempt to 'block' traffic just makes stops the flow of living in this wonderful large city. It is frustrating and useless to block roads. Simpler and far more economical during these times would be to keep traffic moving slowly, Why not make this neighboring 20mph zone? How about planting more trees along Edgware Road? I think it is ridiculous in a major city to force traffic to go in circles. If you opened up North Carriage Drive again, if you rethink bike lane blocking traffic on Bayswater Road and all through the park on West Carriage Drive creating pollution in the center of the park. If you encourage more electric vehicles with more charging points in the street lights then we will be living is a nicer 
neighborhood. Before you made all the changes traffic flowed smoothly everywhere in W2. I am so frustrated by your waist of money, creating traffic and fumes. We live a hugely large city, keep it moving. For the small neighborhoods you can: 
*Keep Up with high Congestion Charges *Impose 20mph speed limits in the city village areas 
*Plant trees where ever theres space *Let the traffic slowly flow and you will bring more business to the shops in the hood. Nobody want to drive circles for a quick bite, or a bit of shopping. 
* Keep all the roads open to cars (stop blocking the arteries that keep this city moving and functioning efficiently) 
Please note that I am a bike rider, a walker, an electric scooter users and I have young children and I strongly oppose to you blocking the roads in my neighborhood. And please do not take away parking places for bike stands. Any extra traffic through Connaught Village comes from blocking up Bayswater Rd.",Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Shop for specialist goods and/or services (e.g. art, clothes, 
furniture, property 
agents etc);Visit 
caf�s;Visit bars / pubs / restaurants;Use take away food 
services;Spend time in the area e.g. sitting in public space areas;Visit friends and/or family;","I am happy with the current offer at Connaught Village and do not think it needs any further 
activities;I don�t support any change in the area;Maybe lower the rents so we can get more local shops and not just restaurants;","Green spaces/ planting;I don�t think the area needs any further infrastructure or physical change, I like it 
the way it is;Plant more trees everywhere ;",Walking,Electric Car,"Stop creating traffic jams, it hurts everyone trying to use London. Do not block our roads, do not take away parking places for bicycle parking. This neighborhood is fantastic as it is, Hyde Park Estate should use it's funds to invite fun and interesting shops into Connaught Street. Half the shops are empty because of the high rents. This is what kills the neighborhood, not people trying to stay connected with the city by slowly driving through."
"Resident 
within this area",W2 2YF,W2 2YF,51.51332,-0.16486,"Improve local air quality ;Reduce cut through traffic and 
congestion;Lower collision risks and increase streets 
safety;",Mostly positive,"Should be effective at reducing through traffic. Would be great to have something like a Farmer's or Food Market in the Village. I do have a car for out-of-town travel and this will increase my (occasional) journey times by forcing me to use the already congested Bayswater Road. To exit the zone, turning right, westwards, onto the Bayswater Road from Hyde Park Place or Clarendon Place is likely to be even more difficult/dangerous than at present - traffic lights at the Hyde Park Place/Bayswater Road junction would be a great 
improvement.",Between three and six times a week,"Shop for specialist goods and/or services (e.g. art, clothes, furniture, 
property agents etc);Visit bars / pubs / restaurants;",Regular farmers� market;Regular street food market;Outdoor dining;,"Public tables and 
chairs;Creating more space for outdoor dining;Green spaces/ planting;",Walking,Bus,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"What best describes 
your 
relationship to this area?","Please 
provide your 
postcode (UK 
residents only).",Temp,,,"What are your top priorities for the area? Please select up to three 
answers.","Overall, how do you feel 
about the 
proposed 
scheme and its expected 
outcomes?","If you wish to give us a short overview on more specific points of why you support the scheme or concerns you have, please use the space below.","How often do you visit 
Connaught 
Village 
(Connaught 
Street, Kendal Street and 
Porchester 
Place)?","If any, what activities do you currently do at Connaught Village? Please select all that apply.","There is an opportunity to create a vibrant piazza space in the heart of the area. Would you like to see any of the below activities offered 
in the piazza space at Connaught Village? Please select...","What, if any, 
infrastructure or physical changes do you think are 
needed at Connaught 
Village? Please select up to three.","Typically, what is your main mode of transport to reach 
your destination within the 
Paddington / Hyde Park Estate area.","If you are a resident in the Paddington / Hyde Park Estate area, 
typically, what is your main mode of 
transport to reach a destination outside the area.","If you have any other comments / suggestions you wish to share, please use the space below"
"Resident 
within this area",W22PS,W22PS,51.51581,-0.16815,"Reduce cut through traffic and 
congestion;Improve local air quality 
;Increase greening and biodiversity (e.g. trees, planters etc);","Strongly 
positive","We are very pleased to see this. We especially like the idea that this is a trial, which seems very sensible since it is hard to know how these things work out in practice. But thank you for thinking of ways to improve the local environment. 
One concern we have is the junction of Cambridge Square and Southwick Street. Despite the sign about a traffic enforcement camera cars routinely ignore the one way system and turn left out of Cambridge Square on to Southwick Street. We are concerned that this might happen more frequently under this new scheme. Is it possible to build out the pavement to make this physically harder? Or perhaps there is some other way to prevent this?",Once or twice a week,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Visit caf�s;Visit bars / pubs / restaurants;I cut through the area when travelling to another place;",Regular farmers� market;,"Green spaces/ 
planting;Play space for children;Extended 
pavements / pathways for pedestrians;",Walking,"Train (mainline / 
underground)",
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Shop for specialist goods and/or services (e.g. art, clothes, 
furniture, property 
agents etc);Visit bars / pubs / restaurants;Use take-away food 
services;Visit caf�s;",I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Walking,Walking,
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",W2 2YE,W2 2YE,51.51389,-0.16582,"Encourage people to walk and 
cycle;Improve local air quality ;Avoid increases in motor vehicle journey 
times within the area;Lower collision risks and increase streets 
safety;Improve 
accessibility for the most vulnerable users;Increase 
greening and 
biodiversity (e.g. trees, planters 
etc);Reduce cut 
through traffic and congestion;Increase opportunities for community activity and a thriving high street ;Ease of 
access to home. Being 'elderly', I may need accessible taxi 
support and do not want to find that there are difficulties henceforth in 
accessing such 
vehicles.;","Strongly 
negative","I live at St. George's Fields, which appears to be negatively affected by the plans. If vehicles wish to access the estate when coming South, down Edgware Road, they will need to go to Marble Arch, drive right round this busy intersection, and then go along Bayswater Road, up Hyde Park and eventually arrive at the main entrance. Similarly, if cars wish to access Edgware Road from St. George's Fields, they must drive down Albion Street, turn left into Bayswater Road, turn left at Marble Arch and go up Edgware Road. This is clearly madness, in that traffic and pollution will escalate on both highways. The plans also prevent us from driving directly across Edgware Road, into Seymour Street/Upper Berkeley Street and so forth. Again, an elongated journey down Albion Street/Bayswater 
Road/Edgware Road. As an elderly person, I need easy access to black taxis if I have a hospital appointment and so forth. It would seem that these vehicles will be blocked from Connaught and Kendal Street, meaning I will have to walk to Edgware Road or Bayswater Road to hail a cab. This will prove punitive not simply to me, but to disabled people also. It is discriminatory. The scheme is a middle class vanity project by the HPEA, to whom I forwarded my comments some months ago. They have done nothing to finesse the plans, which clearly remain the same. It would seem that WCC has bought into them, without factoring in the points I made at that time.",Between three and six times a week,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Visit caf�s;",Outdoor dining;Regular farmers� market;Regular street food market;Cultural / artistic / musical events;,"Green spaces/ 
planting;Creating more space for outdoor 
dining;Creating safer pedestrian 
crossings;Village 
noticeboard;",Walking,Bus,
"Resident 
within this area",W2 1JN,W2 1JN,51.51875,-0.17026,"3 weekly Noise (bell alarm spam) 
sessions generated from Hilton 
(edgware road) 
hotel;Reduce cut through traffic and congestion;Increase greening and 
biodiversity (e.g. trees, planters 
etc);Avoid increases in motor vehicle journey times within the area;","Mostly 
negative","I received this plan from the post, I live on the edge of this area - Balmoral Apartments at West End Quay neighbouring with Merchant Square at the Paddington basin. So the rest of the survey (which seems to be your main focus) I don't have an opinion. However, the Restricted access on South Wharf Road and Praed Street is confusing, as the Car Park for us is in the middle of South Wharf Road, must access through the hospital and the Praed street end is one way at the moment. 
On your plan, the only path to access the car park when we return is noted as ""no entry , restricted except access"". Could you please 
clarify if residents' private vehicle is included with the ""access""? 
If not, could you either give us an entry permit to stick on windscreen or change it? 
Thank you.",Less than once a month,I have never been to Connaught Village;,Rather keep it quiet;,"Extended pavements / pathways for 
pedestrians;Water 
fountain;I don�t know;",Walking,"Train (mainline / 
underground)","I'd rather focus on the traffic on Edgware Road - very busy compared to the other mentions. 
When I walk to vote, I noticed the area is very difficult to walk as the road signs are not for pedestrians. 
I usually use the busy Edgware Road but considering to walk via Sale St and Norfolk CR for destination to Marble Arch, if it's saver. 
One prolonged problem in this neighbourhood is the organised fake-beggar and scam on Edgware Road. Those Eastern European looking women and men group always sit outside supermarkets (seed of virus?), and use some flowers to ask people especially tourists (Before lockdown) to give them change. The Marble Arch team is aware of this junk but we have no way to kick them out of the country. It would be grateful if you could inspect whether they have legal residency here (visas etc). 
I personally have been saving tourists from such a scam before the lockdown, when they hit the Oxford Street."
"Resident 
within this area",W2 2AA,W2 2AA,51.51439,-0.16757,"Improve accessibility for the most 
vulnerable 
users;Reduce cut through traffic and congestion;Increase opportunities for community activity and a thriving high street ;",Mostly positive,"From looking at the map, I have a huge problem. Our flat is in one residential area, my car is in an underground car park under 
Coniston Court - a different residential area. My husband is disabled and cannot walk. We have Blue and White badges. I cannot see how I can get the car to the flat so that I can help him into it!",Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Shop for specialist goods and/or services (e.g. art, clothes, 
furniture, property 
agents etc);Visit bars / pubs / restaurants;Visit caf�s;Use take-away food services;Spend time in the area e.g. sitting in public space areas;",Regular farmers� market;Regular street food market;Seasonal / specialist market (e.g. Christmas market or antiques market);,"Green spaces/ 
planting;Extended 
pavements / pathways for pedestrians;Creating safer pedestrian crossings;",Blue/White badge car,Blue/White badge car,"I approve of the scheme in principle, but I think Blue/White badge holders should be able to access all areas, like emergency and refuse vehicles. I am very worried about the impact on our life as the scheme stands. I would like a response from you before the scheme trials and have given my email below."
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,,"Outdoor dining;Regular farmers� market;Regular street food market;Seasonal / specialist 
market (e.g. Christmas market or antiques market);I don�t support any change in the area;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Cycling,Cycling,
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Shop for specialist goods and/or services (e.g. art, clothes, 
furniture, property 
agents etc);Visit bars / pubs / restaurants;Visit caf�s;",I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Walking,Walking,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,"I am happy with the current offer at Connaught Village and do not think it needs any further 
activities;I don�t support any change in the area;",,,,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,"I am happy with the current offer at Connaught Village and do not think it needs any further 
activities;I don�t support any change in the area;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,"I don�t support any change in the area;I am happy with the current offer at Connaught Village and do 
not think it needs any further activities;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,"I don�t support any change in the area;I am happy with the current offer at Connaught Village and do 
not think it needs any further activities;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,,"I don�t support any change in the area;I am happy with the current offer at Connaught Village and do 
not think it needs any further activities;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Cycling,Cycling,
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Shop for specialist goods and/or services (e.g. art, clothes, 
furniture, property 
agents etc);Visit bars / pubs / restaurants;","I am happy with the current offer at Connaught Village and do not think it needs any further 
activities;I don�t support any change in the area;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Walking,Walking,this is a commercially devised scheme to increase the value of Church Commissionere' property interests and should be scrapped IMMEDIATELY
"Resident 
within this area",,,,,,"Strongly 
negative",,,,"I don�t support any change in the area;I am happy with the current offer at Connaught Village and do 
not think it needs any further activities;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Shop for specialist goods and/or services (e.g. art, clothes, 
furniture, property 
agents etc);Visit bars / pubs / restaurants;Visit caf�s;","I am happy with the current offer at Connaught Village and do not think it needs any further 
activities;I don�t support any change in the area;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Walking,Walking,
"Resident 
within this area",,,,,,"Strongly 
negative",,,,"I don�t support any change in the area;I am happy with the current offer at Connaught Village and do 
not think it needs any further activities;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Walking,Walking,
"Resident 
within this area",,,,,,"Strongly 
negative",,Every day,,"I am happy with the current offer at Connaught Village and do not think it needs any further 
activities;I don�t support any change in the area;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",,,
